Id,SMILES,source,TA98,TA100,TA102,TA1535,TA1537,Overall,Partition
149,Nc1ccc(Oc2ccc(N)cc2)cc1,isssty,1,1,-1,0,0,1,External
150,Cc1ccc(N)cc1,isssty,0,0,0,0,0,0,Train
151,CC(O)CN,isssty,0,0,-1,0,0,-1,Train
152,CCCCCCCCCc1ccc(O)cc1,isssty,0,0,0,0,0,0,Train
153,C=CC(=O)OC,isssty,0,0,-1,0,0,-1,Train
154,O=c1oc2ccc([N+](=O)[O-])cc2c2ccccc12,isssty,1,1,-1,1,1,1,Train
155,CC(C)(C)c1cc(O)ccc1O,isssty,0,0,0,-1,-1,-1,External
156,O=C(O)c1ccc([N+](=O)[O-])cc1,isssty,-1,1,-1,0,0,1,Train
157,C=CC(=O)NCO,isssty,0,0,0,0,0,0,Internal
158,C=C(Cl)CCl,isssty,1,1,0,1,0,1,Internal
159,CC(C)O,isssty,0,0,0,0,0,0,External
160,O=C1OC2(c3ccccc31)c1cc(I)c([O-])c(I)c1Oc1c2cc(I)c([O-])c1I,isssty,0,0,0,0,0,0,Train
161,Nc1ccc2ccccc2c1,isssty,1,1,-1,1,-1,1,Train
162,Cl/C=C\Cl,isssty,0,0,-1,0,0,-1,External
163,Cc1ccccc1Cl,isssty,0,0,0,0,0,0,Train
164,O=C1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)N1,isssty,1,1,1,0,0,1,External
165,ClC(Br)Br,isssty,0,0,-1,0,0,-1,Train
166,ClC(Cl)Cl,isssty,0,0,-1,0,0,-1,Train
167,O=C(O)CCl,isssty,0,0,0,0,0,0,Train
168,Clc1ccc(Cl)cc1,isssty,0,0,-1,0,0,-1,Train
169,Cc1cc(/C=C/c2ccc3cc(N(C)C)ccc3[n+]2C)c(C)n1-c1ccccc1.Cc1cc(/C=C/c2ccc3cc(N(C)C)ccc3[n+]2C)c(C)n1-c1ccccc1.O=C(O)c1cc2ccccc2c(Cc2c(O)c(C(=O)O)cc3ccccc23)c1O,isssty,1,1,-1,0,0,1,Train
170,CCOC(N)=O,isssty,0,0,0,0,0,0,Train
171,Cc1cnc[nH]1,isssty,0,0,0,0,0,0,Train
172,O=[N+]([O-])c1cc(N(CCO)CCO)ccc1NCCO,isssty,1,0,-1,0,1,1,Internal
173,N#Cc1ccccc1,isssty,0,0,-1,0,0,-1,Train
174,COc1cc([N+](=O)[O-])ccc1/N=N/C(C(C)=O)C(=O)Nc1ccccc1OC,isssty,0,0,-1,0,0,-1,Train
175,O=C(O)c1ccccc1,isssty,0,0,0,0,0,0,Train
176,CC(=O)CC(=O)Nc1ccccc1,isssty,0,0,-1,0,0,-1,Train
177,CCCCCCCCCCCCCC(=O)O,isssty,0,0,-1,0,0,-1,Train
178,S=c1[nH]c2ccccc2s1,isssty,0,0,-1,0,0,-1,Internal
179,Cc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],isssty,1,1,1,0,1,1,Train
180,S=C([S-])NCCNC1=[SH][Zn+2]<-[SH-]1,isssty,0,0,0,0,0,0,Train
181,O=[N+]([O-])c1ccccc1Cl,isssty,0,1,-1,0,0,1,Internal
182,CCCN(CCC)N=O,isssty,-1,1,1,1,-1,1,Train
183,OCCCl,isssty,0,1,-1,1,0,1,Train
184,Cc1ccccc1Br,isssty,0,0,0,0,0,0,Train
185,OCC1CO1,isssty,1,1,-1,1,1,1,Train
186,C=C(C)C(=O)OCCCC,isssty,0,0,-1,0,0,-1,Train
187,[OH][Sn]([c]1ccccc1)([c]1ccccc1)[c]1ccccc1,isssty,0,0,-1,0,0,-1,Train
188,C1CCC2CCCCC2C1,isssty,0,0,-1,0,0,-1,Train
189,Nc1ccc(O)cc1,isssty,0,0,-1,0,0,-1,Internal
190,COc1cc(-c2ccc(N)c(OC)c2)ccc1N,isssty,1,1,1,1,0,1,External
191,[O]=[V](=[O])[O][V](=[O])=[O],isssty,0,0,0,0,0,0,External
192,O=C1OC(O)C(C(Cl)Cl)=C1Cl,isssty,1,1,1,1,-1,1,Train
193,CCOS(C)(=O)=O,isssty,1,1,-1,1,-1,1,Train
194,CO[C@@]12[C@@H](COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1C[C@H]1N[C@@H]12,isssty,0,0,1,0,0,1,Train
195,Cc1ccc(Cl)cc1,isssty,0,0,0,0,0,0,Train
196,CCOc1ccc(NC(C)=O)cc1,isssty,0,0,-1,0,0,-1,Train
197,O=C1c2cccc(O)c2C(=O)c2c(O)cc(CO)cc21,isssty,1,0,1,0,1,1,Train
198,C/C=C1\CC2C=CC1C2,isssty,0,0,-1,0,0,-1,Train
199,S=C1NCCN1,isssty,0,0,0,1,0,1,Train
200,CC1=CC(=O)c2c(O)cccc2C1=O,isssty,0,0,0,0,0,0,Train
201,O=[N+]([O-])c1ccc(O)cc1,isssty,0,0,-1,0,0,-1,External
202,C=CC(=C)Cl,isssty,0,0,-1,0,0,-1,External
203,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,isssty,0,0,-1,0,0,-1,External
204,NCCNCCN,isssty,0,0,-1,0,0,-1,Train
205,O=S1OCC2C(CO1)C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,isssty,0,0,0,0,0,0,Train
206,CC(C)(C#N)C(C)(C)C#N,isssty,0,0,0,0,0,0,Train
207,C1CCOC1,isssty,0,0,-1,0,0,-1,Train
208,CCCCC(CC)COC(=O)c1ccc(N(C)N=O)cc1,isssty,0,0,-1,0,0,-1,External
209,O=[N+]([O-])c1cc2ccc3cccc4ccc(c1)c2c34,isssty,1,1,0,0,-1,1,Train
210,O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1,isssty,1,1,-1,1,1,1,Train
211,CC/C(C)=N/O,isssty,0,0,-1,0,0,-1,Train
212,FC(F)(F)c1cccc(Cl)c1,isssty,0,0,-1,0,0,-1,Internal
213,C=CCCl,isssty,0,-1,0,1,0,1,Train
214,CC(=O)OC(C)=O,isssty,0,0,0,0,0,0,Train
215,NCc1cccc(CN)c1,isssty,0,0,0,0,0,0,Train
216,CN(C)CCO,isssty,0,0,-1,0,0,-1,External
217,CC(C)=CCC1=C(O)c2ccccc2C(=O)C1=O,isssty,0,0,0,0,0,0,Train
218,Cc1ccco1,isssty,0,0,0,0,-1,-1,Train
219,C=C(C)C,isssty,0,0,0,0,0,0,Train
220,[Na][S][Na],isssty,0,0,-1,0,0,-1,Train
221,FC(F)(F)c1ccccc1Cl,isssty,0,0,-1,0,0,-1,Train
222,c1ccc(Nc2cccc3ccccc23)cc1,isssty,0,0,-1,0,0,-1,Train
223,ClCC(Cl)Cl,isssty,0,-1,-1,0,0,-1,Train
224,N/N=c1/[nH]ncc2ccccc12,isssty,1,1,1,1,1,1,External
225,CC(=O)CN(CC(C)=O)N=O,isssty,-1,1,-1,1,-1,1,Train
226,Cc1ccc(S(=O)(=O)NN)cc1,isssty,0,1,0,1,0,1,External
227,O=C1CCCCCN1,isssty,0,0,0,0,0,0,External
228,Nc1ccc(N)c2c1C(=O)c1c(N)ccc(N)c1C2=O,isssty,1,0,-1,1,1,1,Train
229,c1ccc2ncccc2c1,isssty,1,1,-1,0,-1,1,Train
230,OCCO,isssty,0,0,-1,0,0,-1,Train
231,Cn1c(=O)c2[nH]cnc2n(C)c1=O,isssty,0,0,0,0,-1,-1,Internal
232,CNc1ccc(N(CCO)CCO)cc1[N+](=O)[O-],isssty,1,1,-1,0,0,1,Train
233,COc1ccc(O)cc1,isssty,0,0,0,0,0,0,External
234,CC(=O)c1cc2c(cc1C)C(C)(C)C(C)CC2(C)C,isssty,0,0,0,0,0,0,Train
235,O=C1C=CC(=O)c2ccccc21,isssty,0,0,-1,0,0,-1,Internal
236,Oc1cccc(O)c1,isssty,0,0,0,0,0,0,Train
237,O=[N+]([O-])c1ccc2ccc3c([N+](=O)[O-])ccc4ccc1c2c43,isssty,1,1,-1,-1,1,1,External
238,Cc1c(C(=O)O)c(O)cc2c1C(=O)c1c(O)c([C@H]3O[C@@H](CO)[C@@H](O)[C@H](O)[C@@H]3O)c(O)c(O)c1C2=O,isssty,0,0,-1,0,0,-1,External
239,O=C(OOC(=O)c1ccccc1)c1ccccc1,isssty,0,0,0,0,0,0,Train
240,c1ccc(Nc2ccc3ccccc3c2)cc1,isssty,0,0,-1,0,-1,-1,Train
241,Cc1cccc(C)c1N,isssty,0,0,-1,0,0,-1,Train
242,COC(N)=O,isssty,0,0,0,0,-1,-1,External
243,CC(O)CN(CC(C)O)N=O,isssty,-1,-1,-1,1,-1,1,Train
244,Nc1ccc([N+](=O)[O-])cc1O,isssty,1,0,-1,0,1,1,External
245,Oc1c(Cl)ccc(Cl)c1Cl,isssty,0,0,-1,0,0,-1,Train
246,O=Cc1c(Cl)cccc1Cl,isssty,0,0,-1,0,-1,-1,Train
247,Cc1ccc([N+](=O)[O-])cc1,isssty,0,0,0,0,0,0,Train
248,O=C(O)c1cccc([N+](=O)[O-])c1,isssty,0,1,-1,-1,-1,1,Train
249,O=C/C=C/c1ccccc1,isssty,0,0,0,0,0,0,Train
250,NC(=O)N/N=C/c1ccc([N+](=O)[O-])o1,isssty,1,1,1,1,0,1,Train
251,ON=C1CCCCC1,isssty,0,0,-1,0,0,-1,Train
252,CC(=O)OC(C)C,isssty,0,0,-1,0,0,-1,Internal
253,C=C(C)CCl,isssty,0,0,0,0,0,0,Train
254,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(C)=O)C[C@H]3O[C@H]1C[C@@H](N)[C@@H](O)[C@@H](C)O1,isssty,1,1,1,0,-1,1,Train
255,Nc1cccc([N+](=O)[O-])c1,isssty,1,1,-1,1,0,1,Train
256,O=Cc1ccc(Cl)cc1Cl,isssty,0,0,-1,0,-1,-1,External
257,ClCCOCCCl,isssty,0,0,-1,1,0,1,Internal
258,O=C(O)c1ccccc1Cl,isssty,0,0,-1,0,0,-1,Train
259,CCCl,isssty,0,-1,-1,1,0,1,Train
260,CC[n+]1c(-c2ccccc2)c2cc(N)ccc2c2ccc(N)cc21,isssty,1,0,1,0,1,1,Train
261,CN(N=O)C(N)=O,isssty,-1,1,1,1,-1,1,Train
262,O=C([O-])Cc1ccccc1Nc1c(Cl)cccc1Cl,isssty,0,0,-1,0,0,-1,External
263,Nc1cc(Cl)ccc1O,isssty,0,0,-1,1,-1,1,Train
264,COC(=O)c1ccccc1C(=O)OC,isssty,0,0,-1,0,0,-1,Train
265,CCN(CC)c1ccccc1,isssty,0,0,0,0,0,0,Train
266,O=C1CCCO1,isssty,0,0,0,0,0,0,Train
267,O=[N+]([O-])c1ccc(-c2ccccc2)cc1,isssty,1,1,-1,-1,-1,1,Internal
268,C=CC(N)=O,isssty,0,0,0,0,0,0,Train
269,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,isssty,0,0,1,0,-1,1,Train
270,CCCCC(CC)CO,isssty,0,0,-1,0,0,-1,Train
271,Cc1c([N+](=O)[O-])cc(O)c(N)c1O,isssty,0,1,-1,-1,-1,1,Train
272,CCCCC(CC)COC(=O)c1ccc(N(C)C)c([N+](=O)[O-])c1,isssty,1,0,-1,0,1,1,External
273,O=[N+]([O-])c1ccc2c3c(cccc13)-c1ccccc1-2,isssty,1,1,-1,0,1,1,Train
274,Cc1ccc(C)cc1,isssty,0,0,-1,0,0,-1,External
275,CNc1ccccc1,isssty,0,0,0,0,0,0,Train
276,Fc1c(F)c(F)c(Cl)c(F)c1F,isssty,0,0,-1,0,0,-1,External
277,O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O,isssty,0,0,0,0,0,0,Train
278,O=C(CCl)c1ccccc1,isssty,0,0,-1,0,0,-1,External
279,Nc1ccc(Oc2c(Cl)cc(Cl)cc2Cl)cc1,isssty,1,1,-1,-1,-1,1,Train
280,CCOCCO,isssty,0,0,0,0,0,0,Internal
281,O=NN1CCCC1c1cccnc1,isssty,0,1,-1,-1,0,1,Train
282,COC(=O)c1ccccc1O,isssty,0,0,-1,0,0,-1,External
283,O=C(O)C(Cl)Cl,isssty,0,1,0,1,-1,1,External
284,Cc1cn([C@@H]2C[C@@H](N=[N+]=[N-])[C@H](CO)O2)c(=O)[nH]c1=O,isssty,0,0,1,0,0,1,Train
285,O=C1c2ccccc2C(=O)C1c1ccc2ccccc2n1,isssty,0,0,-1,0,-1,-1,External
286,O=Cc1cccc([N+](=O)[O-])c1,isssty,0,1,-1,0,0,1,External
287,O=Cc1ccccc1Cl,isssty,0,0,-1,0,0,-1,Train
288,C=CC(=O)OCCCC,isssty,0,0,-1,0,0,-1,Train
289,O=C(O)c1cccc(Cl)c1,isssty,0,0,-1,0,0,-1,Train
290,CC(C)Nc1ccc(Nc2ccccc2)cc1,isssty,0,0,-1,0,0,-1,Train
291,C[C@H]1CCCC(=O)CCC/C=C/c2cc(O)cc(O)c2C(=O)O1,isssty,0,0,-1,0,0,-1,Train
292,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,isssty,0,0,0,1,0,1,Train
293,Cc1cc(/N=N/c2ccccc2C)ccc1N,isssty,1,1,-1,-1,-1,1,Train
294,O=[N+]([O-])CCO,isssty,-1,0,-1,0,0,-1,Train
295,CC1(C)[C@H](C=C(Cl)Cl)[C@@H]1C(=O)OCc1cccc(Oc2ccccc2)c1,isssty,0,0,-1,0,0,-1,External
296,c1ccsc1,isssty,0,0,0,0,0,0,Train
297,O=Cc1ccccc1[N+](=O)[O-],isssty,0,0,-1,0,0,-1,Internal
298,FC(F)(F)c1ccccc1,isssty,0,0,-1,0,0,-1,Train
299,COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12,isssty,0,0,1,0,1,1,Train
300,CC(O)CN(C)N=O,isssty,-1,1,-1,-1,-1,1,Train
301,CCC(CO)[N+](=O)[O-],isssty,0,0,0,0,0,0,Train
302,C=CCC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O,isssty,0,1,-1,0,0,1,Internal
303,BB,isssty,1,-1,-1,0,0,1,External
304,Cc1ccc(C(=O)c2cc(O)c(O)c([N+](=O)[O-])c2)cc1,isssty,0,0,0,0,0,0,Internal
305,CC(=O)CN(CC(C)O)N=O,isssty,-1,1,-1,-1,-1,1,Train
