1_ames_mutagenicity_data	c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34
109_ames_mutagenicity_data	Oc1c(Cl)cc(Cl)cc1Sc1cc(Cl)cc(Cl)c1O
110_ames_mutagenicity_data	C=CC(=O)OCCOC(=O)C=C
111_ames_mutagenicity_data	COC(C)(C)C
112_ames_mutagenicity_data	Oc1cccc2cccnc12
113_ames_mutagenicity_data	Cc1c2ccccc2c(C)c2c1ccc1ccccc12
114_ames_mutagenicity_data	CCOc1ccc(NC(C)=O)cc1N
115_ames_mutagenicity_data	ClCCCl
116_ames_mutagenicity_data	Nc1cc([N+](=O)[O-])ccc1O
117_ames_mutagenicity_data	CC(C)CO
118_ames_mutagenicity_data	O=c1oc2cc([N+](=O)[O-])ccc2c2ccccc12
119_ames_mutagenicity_data	O=CC=O
120_ames_mutagenicity_data	O=C(O)CN(CC(=O)O)CC(=O)O
121_ames_mutagenicity_data	ClC=C(Cl)Cl
122_ames_mutagenicity_data	Nc1ccc2c(c1)C(=O)c1ccccc1C2=O
123_ames_mutagenicity_data	CC1=CC(=O)c2ccccc2C1=O
124_ames_mutagenicity_data	COP(=O)(OC)C(O)C(Cl)(Cl)Cl
125_ames_mutagenicity_data	C=C[C@@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12
126_ames_mutagenicity_data	Cc1ncc([N+](=O)[O-])n1CCO
127_ames_mutagenicity_data	CN=C=O
128_ames_mutagenicity_data	O=C(O)c1ccccc1C(=O)O
129_ames_mutagenicity_data	Nc1ccccc1[N+](=O)[O-]
130_ames_mutagenicity_data	Cc1ccc(OP(=O)(Oc2ccc(C)cc2)Oc2ccc(C)cc2)cc1
131_ames_mutagenicity_data	C=CC=C
132_ames_mutagenicity_data	CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12
133_ames_mutagenicity_data	CCC1CO1
134_ames_mutagenicity_data	CN(N=O)/C(N)=N/[N+](=O)[O-]
135_ames_mutagenicity_data	Nc1c(Br)cc([N+](=O)[O-])cc1[N+](=O)[O-]
136_ames_mutagenicity_data	CC(O)CCl
137_ames_mutagenicity_data	ClCC(Br)CBr
138_ames_mutagenicity_data	O=C(O)c1ccc(Cl)cc1
139_ames_mutagenicity_data	CC(C)(OOC(C)(C)c1ccccc1)c1ccccc1
140_ames_mutagenicity_data	C=C(C)C(=O)OCCOC(=O)C(=C)C
141_ames_mutagenicity_data	C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C
142_ames_mutagenicity_data	COc1cc(-c2ccc(N=C=O)c(OC)c2)ccc1N=C=O
143_ames_mutagenicity_data	O=[N+]([O-])c1ccc2ccc3ccc([N+](=O)[O-])c4ccc1c2c34
144_ames_mutagenicity_data	C=CC(=O)O
145_ames_mutagenicity_data	Cc1cc(O)ccc1Cl
146_ames_mutagenicity_data	Cc1ccccc1[N+](=O)[O-]
147_ames_mutagenicity_data	O=[N+]([O-])c1ccc(Oc2c(Cl)cc(Cl)cc2Cl)cc1
148_ames_mutagenicity_data	C=CC(=O)OCCCCCCOC(=O)C=C
149_ames_mutagenicity_data	Nc1ccc(Oc2ccc(N)cc2)cc1
150_ames_mutagenicity_data	Cc1ccc(N)cc1
151_ames_mutagenicity_data	CC(O)CN
152_ames_mutagenicity_data	CCCCCCCCCc1ccc(O)cc1
153_ames_mutagenicity_data	C=CC(=O)OC
154_ames_mutagenicity_data	O=c1oc2ccc([N+](=O)[O-])cc2c2ccccc12
155_ames_mutagenicity_data	CC(C)(C)c1cc(O)ccc1O
156_ames_mutagenicity_data	O=C(O)c1ccc([N+](=O)[O-])cc1
157_ames_mutagenicity_data	C=CC(=O)NCO
158_ames_mutagenicity_data	C=C(Cl)CCl
159_ames_mutagenicity_data	CC(C)O
160_ames_mutagenicity_data	O=C1OC2(c3ccccc31)c1cc(I)c([O-])c(I)c1Oc1c2cc(I)c([O-])c1I
161_ames_mutagenicity_data	Nc1ccc2ccccc2c1
162_ames_mutagenicity_data	Cl/C=C\Cl
163_ames_mutagenicity_data	Cc1ccccc1Cl
164_ames_mutagenicity_data	O=C1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)N1
165_ames_mutagenicity_data	ClC(Br)Br
166_ames_mutagenicity_data	ClC(Cl)Cl
167_ames_mutagenicity_data	O=C(O)CCl
168_ames_mutagenicity_data	Clc1ccc(Cl)cc1
169_ames_mutagenicity_data	Cc1cc(/C=C/c2ccc3cc(N(C)C)ccc3[n+]2C)c(C)n1-c1ccccc1.Cc1cc(/C=C/c2ccc3cc(N(C)C)ccc3[n+]2C)c(C)n1-c1ccccc1.O=C(O)c1cc2ccccc2c(Cc2c(O)c(C(=O)O)cc3ccccc23)c1O
170_ames_mutagenicity_data	CCOC(N)=O
171_ames_mutagenicity_data	Cc1cnc[nH]1
172_ames_mutagenicity_data	O=[N+]([O-])c1cc(N(CCO)CCO)ccc1NCCO
173_ames_mutagenicity_data	N#Cc1ccccc1
174_ames_mutagenicity_data	COc1cc([N+](=O)[O-])ccc1/N=N/C(C(C)=O)C(=O)Nc1ccccc1OC
175_ames_mutagenicity_data	O=C(O)c1ccccc1
176_ames_mutagenicity_data	CC(=O)CC(=O)Nc1ccccc1
177_ames_mutagenicity_data	CCCCCCCCCCCCCC(=O)O
178_ames_mutagenicity_data	S=c1[nH]c2ccccc2s1
179_ames_mutagenicity_data	Cc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-]
180_ames_mutagenicity_data	S=C([S-])NCCNC1=[SH][Zn+2][SH-]1
181_ames_mutagenicity_data	O=[N+]([O-])c1ccccc1Cl
182_ames_mutagenicity_data	CCCN(CCC)N=O
183_ames_mutagenicity_data	OCCCl
184_ames_mutagenicity_data	Cc1ccccc1Br
185_ames_mutagenicity_data	OCC1CO1
186_ames_mutagenicity_data	C=C(C)C(=O)OCCCC
187_ames_mutagenicity_data	O[Sn](c1ccccc1)(c1ccccc1)c1ccccc1
188_ames_mutagenicity_data	C1CCC2CCCCC2C1
189_ames_mutagenicity_data	Nc1ccc(O)cc1
190_ames_mutagenicity_data	COc1cc(-c2ccc(N)c(OC)c2)ccc1N
191_ames_mutagenicity_data	O=[V](=O)O[V](=O)=O
192_ames_mutagenicity_data	O=C1OC(O)C(C(Cl)Cl)=C1Cl
193_ames_mutagenicity_data	CCOS(C)(=O)=O
194_ames_mutagenicity_data	CO[C@]12[C@H]3N[C@@H]3CN1C1=C(C(=O)C(N)=C(C)C1=O)[C@@H]2COC(N)=O
195_ames_mutagenicity_data	Cc1ccc(Cl)cc1
196_ames_mutagenicity_data	CCOc1ccc(NC(C)=O)cc1
197_ames_mutagenicity_data	O=C1c2cccc(O)c2C(=O)c2c(O)cc(CO)cc21
198_ames_mutagenicity_data	C/C=C1\CC2C=CC1C2
199_ames_mutagenicity_data	S=C1NCCN1
200_ames_mutagenicity_data	CC1=CC(=O)c2c(O)cccc2C1=O
201_ames_mutagenicity_data	O=[N+]([O-])c1ccc(O)cc1
202_ames_mutagenicity_data	C=CC(=C)Cl
203_ames_mutagenicity_data	O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1
204_ames_mutagenicity_data	NCCNCCN
205_ames_mutagenicity_data	O=S1OCC2C(CO1)C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl
206_ames_mutagenicity_data	CC(C)(C#N)C(C)(C)C#N
207_ames_mutagenicity_data	C1CCOC1
208_ames_mutagenicity_data	CCCCC(CC)COC(=O)c1ccc(N(C)N=O)cc1
209_ames_mutagenicity_data	O=[N+]([O-])c1cc2ccc3cccc4ccc(c1)c2c34
210_ames_mutagenicity_data	O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1
211_ames_mutagenicity_data	CC/C(C)=N/O
212_ames_mutagenicity_data	FC(F)(F)c1cccc(Cl)c1
213_ames_mutagenicity_data	C=CCCl
214_ames_mutagenicity_data	CC(=O)OC(C)=O
215_ames_mutagenicity_data	NCc1cccc(CN)c1
216_ames_mutagenicity_data	CN(C)CCO
217_ames_mutagenicity_data	CC(C)=CCC1=C(O)c2ccccc2C(=O)C1=O
218_ames_mutagenicity_data	Cc1ccco1
219_ames_mutagenicity_data	C=C(C)C
220_ames_mutagenicity_data	[Na]S[Na]
221_ames_mutagenicity_data	FC(F)(F)c1ccccc1Cl
222_ames_mutagenicity_data	c1ccc(Nc2cccc3ccccc23)cc1
223_ames_mutagenicity_data	ClCC(Cl)Cl
224_ames_mutagenicity_data	N/N=c1/[nH]ncc2ccccc12
225_ames_mutagenicity_data	CC(=O)CN(CC(C)=O)N=O
226_ames_mutagenicity_data	Cc1ccc(S(=O)(=O)NN)cc1
227_ames_mutagenicity_data	O=C1CCCCCN1
228_ames_mutagenicity_data	Nc1ccc(N)c2c1C(=O)c1c(N)ccc(N)c1C2=O
229_ames_mutagenicity_data	c1ccc2ncccc2c1
230_ames_mutagenicity_data	OCCO
231_ames_mutagenicity_data	Cn1c(=O)c2[nH]cnc2n(C)c1=O
232_ames_mutagenicity_data	CNc1ccc(N(CCO)CCO)cc1[N+](=O)[O-]
233_ames_mutagenicity_data	COc1ccc(O)cc1
234_ames_mutagenicity_data	CC(=O)c1cc2c(cc1C)C(C)(C)C(C)CC2(C)C
235_ames_mutagenicity_data	O=C1C=CC(=O)c2ccccc21
236_ames_mutagenicity_data	Oc1cccc(O)c1
237_ames_mutagenicity_data	O=[N+]([O-])c1ccc2ccc3c([N+](=O)[O-])ccc4ccc1c2c43
238_ames_mutagenicity_data	Cc1c(C(=O)O)c(O)cc2c1C(=O)c1c(O)c([C@H]3O[C@@H](CO)[C@@H](O)[C@H](O)[C@@H]3O)c(O)c(O)c1C2=O
239_ames_mutagenicity_data	O=C(OOC(=O)c1ccccc1)c1ccccc1
240_ames_mutagenicity_data	c1ccc(Nc2ccc3ccccc3c2)cc1
241_ames_mutagenicity_data	Cc1cccc(C)c1N
242_ames_mutagenicity_data	COC(N)=O
243_ames_mutagenicity_data	CC(O)CN(CC(C)O)N=O
244_ames_mutagenicity_data	Nc1ccc([N+](=O)[O-])cc1O
245_ames_mutagenicity_data	Oc1c(Cl)ccc(Cl)c1Cl
246_ames_mutagenicity_data	O=Cc1c(Cl)cccc1Cl
247_ames_mutagenicity_data	Cc1ccc([N+](=O)[O-])cc1
248_ames_mutagenicity_data	O=C(O)c1cccc([N+](=O)[O-])c1
249_ames_mutagenicity_data	O=C/C=C/c1ccccc1
250_ames_mutagenicity_data	NC(=O)N/N=C/c1ccc([N+](=O)[O-])o1
251_ames_mutagenicity_data	ON=C1CCCCC1
252_ames_mutagenicity_data	CC(=O)OC(C)C
253_ames_mutagenicity_data	C=C(C)CCl
254_ames_mutagenicity_data	COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(C)=O)C[C@H]3O[C@H]1C[C@@H](N)[C@@H](O)[C@@H](C)O1
255_ames_mutagenicity_data	Nc1cccc([N+](=O)[O-])c1
256_ames_mutagenicity_data	O=Cc1ccc(Cl)cc1Cl
257_ames_mutagenicity_data	ClCCOCCCl
258_ames_mutagenicity_data	O=C(O)c1ccccc1Cl
259_ames_mutagenicity_data	CCCl
260_ames_mutagenicity_data	CC[n+]1c(-c2ccccc2)c2cc(N)ccc2c2ccc(N)cc21
261_ames_mutagenicity_data	CN(N=O)C(N)=O
262_ames_mutagenicity_data	O=C([O-])Cc1ccccc1Nc1c(Cl)cccc1Cl
263_ames_mutagenicity_data	Nc1cc(Cl)ccc1O
264_ames_mutagenicity_data	COC(=O)c1ccccc1C(=O)OC
265_ames_mutagenicity_data	CCN(CC)c1ccccc1
266_ames_mutagenicity_data	O=C1CCCO1
267_ames_mutagenicity_data	O=[N+]([O-])c1ccc(-c2ccccc2)cc1
268_ames_mutagenicity_data	C=CC(N)=O
269_ames_mutagenicity_data	CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21
270_ames_mutagenicity_data	CCCCC(CC)CO
271_ames_mutagenicity_data	Cc1c([N+](=O)[O-])cc(O)c(N)c1O
272_ames_mutagenicity_data	CCCCC(CC)COC(=O)c1ccc(N(C)C)c([N+](=O)[O-])c1
273_ames_mutagenicity_data	O=[N+]([O-])c1ccc2c3c(cccc13)-c1ccccc1-2
274_ames_mutagenicity_data	Cc1ccc(C)cc1
275_ames_mutagenicity_data	CNc1ccccc1
276_ames_mutagenicity_data	Fc1c(F)c(F)c(Cl)c(F)c1F
277_ames_mutagenicity_data	O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O
278_ames_mutagenicity_data	O=C(CCl)c1ccccc1
279_ames_mutagenicity_data	Nc1ccc(Oc2c(Cl)cc(Cl)cc2Cl)cc1
280_ames_mutagenicity_data	CCOCCO
281_ames_mutagenicity_data	O=NN1CCCC1c1cccnc1
282_ames_mutagenicity_data	COC(=O)c1ccccc1O
283_ames_mutagenicity_data	O=C(O)C(Cl)Cl
284_ames_mutagenicity_data	Cc1cn([C@@H]2C[C@@H](N=[N+]=[N-])[C@H](CO)O2)c(=O)[nH]c1=O
285_ames_mutagenicity_data	O=C1c2ccccc2C(=O)C1c1ccc2ccccc2n1
286_ames_mutagenicity_data	O=Cc1cccc([N+](=O)[O-])c1
287_ames_mutagenicity_data	O=Cc1ccccc1Cl
288_ames_mutagenicity_data	C=CC(=O)OCCCC
289_ames_mutagenicity_data	O=C(O)c1cccc(Cl)c1
290_ames_mutagenicity_data	CC(C)Nc1ccc(Nc2ccccc2)cc1
291_ames_mutagenicity_data	C[C@H]1CCCC(=O)CCC/C=C/c2cc(O)cc(O)c2C(=O)O1
292_ames_mutagenicity_data	CCC1(c2ccccc2)C(=O)NC(=O)NC1=O
293_ames_mutagenicity_data	Cc1cc(/N=N/c2ccccc2C)ccc1N
294_ames_mutagenicity_data	O=[N+]([O-])CCO
295_ames_mutagenicity_data	CC1(C)[C@H](C=C(Cl)Cl)[C@@H]1C(=O)OCc1cccc(Oc2ccccc2)c1
296_ames_mutagenicity_data	c1ccsc1
297_ames_mutagenicity_data	O=Cc1ccccc1[N+](=O)[O-]
298_ames_mutagenicity_data	FC(F)(F)c1ccccc1
299_ames_mutagenicity_data	COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12
300_ames_mutagenicity_data	CC(O)CN(C)N=O
301_ames_mutagenicity_data	CCC(CO)[N+](=O)[O-]
302_ames_mutagenicity_data	C=CCC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O
303_ames_mutagenicity_data	BB
304_ames_mutagenicity_data	Cc1ccc(C(=O)c2cc(O)c(O)c([N+](=O)[O-])c2)cc1
305_ames_mutagenicity_data	CC(=O)CN(CC(C)O)N=O
306_ames_mutagenicity_data	C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C
307_ames_mutagenicity_data	O=C1C(Cl)=C(Cl)C(=O)c2ccccc21
308_ames_mutagenicity_data	CCCCC(CC)C(=O)O
309_ames_mutagenicity_data	COc1c2occc2cc2ccc(=O)oc12
310_ames_mutagenicity_data	COP(=S)(OC)Oc1ccc([N+](=O)[O-])c(C)c1
311_ames_mutagenicity_data	COC=O
312_ames_mutagenicity_data	O=S(=O)([O-])c1ccc(/N=N/c2c(O)ccc3cc(S(=O)(=O)[O-])ccc23)cc1
313_ames_mutagenicity_data	Nc1ccc(Cl)c(Cl)c1
314_ames_mutagenicity_data	CN(C)N
315_ames_mutagenicity_data	O=C(O)CNCP(=O)(O)O
316_ames_mutagenicity_data	Cc1cc(=O)n(-c2ccccc2)n1C
317_ames_mutagenicity_data	CC(=O)OC(C)CN(CC(C)OC(C)=O)N=O
318_ames_mutagenicity_data	S=c1[nH]cnc2nc[nH]c12
319_ames_mutagenicity_data	Cc1cc(O)c(C(C)(C)C)cc1Sc1cc(C(C)(C)C)c(O)cc1C
320_ames_mutagenicity_data	N/C(=N\c1ccccc1)Nc1ccccc1
321_ames_mutagenicity_data	O=[N+]([O-])c1ccc2[nH]c3ccccc3c2c1
322_ames_mutagenicity_data	C=COC(C)=O
323_ames_mutagenicity_data	OC(O)C(Cl)(Cl)Cl
324_ames_mutagenicity_data	COc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl
325_ames_mutagenicity_data	CC(=O)CC(C)C
326_ames_mutagenicity_data	CC1=NN(c2ccccc2)C(=O)C1
327_ames_mutagenicity_data	CCOC(=O)c1ccccc1C(=O)OCC
328_ames_mutagenicity_data	C=CC(=O)OCC
329_ames_mutagenicity_data	CC(=O)CN(C)N=O
330_ames_mutagenicity_data	Nc1c2ccccc2nc2ccccc12
331_ames_mutagenicity_data	O=C1C=C(O)c2ccccc2C1=O
332_ames_mutagenicity_data	CC1CN(N=O)CC(C)O1
333_ames_mutagenicity_data	CC(C)(C)S(=O)(=O)C[C@@H](Cc1ccccc1)C(=O)N[C@H](Cc1cnc[nH]1)C(=O)N[C@H](CC1CCCCC1)[C@@H](O)[C@H](O)C1CC1
334_ames_mutagenicity_data	NCCNC(=O)c1ccc(Cl)cn1
335_ames_mutagenicity_data	CCCCC(CC)COC(=O)c1ccccc1C(=O)O
336_ames_mutagenicity_data	CC(C)(C)O
337_ames_mutagenicity_data	CC(C)(c1ccc(O)cc1)c1ccc(O)cc1
338_ames_mutagenicity_data	O=C(O)c1cc2ccccc2cc1O
339_ames_mutagenicity_data	Cc1cccc(O)c1
340_ames_mutagenicity_data	Cc1ccccc1-c1ccccc1
341_ames_mutagenicity_data	O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12
342_ames_mutagenicity_data	CC(=O)/C=C/C1=C(C)CCCC1(C)C
343_ames_mutagenicity_data	Cc1ccc(N)cc1O
344_ames_mutagenicity_data	CCCCC/C=C\C/C=C\CCCCCCCC(=O)O
345_ames_mutagenicity_data	Cc1ccc(N=C=O)cc1N=C=O
346_ames_mutagenicity_data	Clc1nc2ccccc2nc1Cl
347_ames_mutagenicity_data	Cc1ccc(N)c(S(=O)(=O)O)c1
348_ames_mutagenicity_data	CBr
349_ames_mutagenicity_data	O=Cc1ccc2c(c1)OCO2
350_ames_mutagenicity_data	C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C
351_ames_mutagenicity_data	c1ccc(C2CO2)cc1
352_ames_mutagenicity_data	CCN(CC)c1ccc(N=O)c(O)c1
353_ames_mutagenicity_data	O=C1NC(=O)C(c2ccccc2)(c2ccc(O)cc2)N1
354_ames_mutagenicity_data	CC(C)N=C=NC(C)C
355_ames_mutagenicity_data	CCOC(C)=O
356_ames_mutagenicity_data	CCCCCCCCCCCCS
357_ames_mutagenicity_data	C=C(C)C(=O)OCC
358_ames_mutagenicity_data	Cc1cccn2c1nc1ccc(N)nc12
359_ames_mutagenicity_data	Cc1ccc(O)c(N)c1
360_ames_mutagenicity_data	Oc1c(Br)cc(Br)cc1Br
361_ames_mutagenicity_data	CN(C)c1cc[nH+]cc1
362_ames_mutagenicity_data	O=c1ccc2ccccc2o1
363_ames_mutagenicity_data	CCNc1cc2[o+]c3cc(NCC)c(C)cc3c(-c3ccccc3C(=O)OCC)c2cc1C
364_ames_mutagenicity_data	CCCCOCCO
365_ames_mutagenicity_data	C=C(C)C(=O)OCCCCCC
366_ames_mutagenicity_data	O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12
367_ames_mutagenicity_data	c1ccc(N(c2ccccc2)c2ccccc2)cc1
368_ames_mutagenicity_data	Cc1ncc[nH]1
369_ames_mutagenicity_data	Cc1cc(-c2cc(C)c(N)c(C)c2)cc(C)c1N
370_ames_mutagenicity_data	Nc1cccc2ccccc12
371_ames_mutagenicity_data	C=C(C)[C@@H]1CC=C(C)CC1
